Punto Inicial,Punto Final,Distancia (m)
"(np.float64(434192.5631883687), np.float64(4812406.23496611))","(np.float64(434190.7867327743), np.float64(4812406.585522581))",1.8107137592277815
"(np.float64(434190.7867327743), np.float64(4812406.585522581))","(np.float64(434189.0113621207), np.float64(4812407.047137439))",1.8344016013758082
"(np.float64(434189.0113621207), np.float64(4812407.047137439))","(np.float64(434183.65813023766), np.float64(4812405.655536909))",5.5311521069479115
"(np.float64(434183.65813023766), np.float64(4812405.655536909))","(np.float64(434181.7122889014), np.float64(4812405.230270796))",1.9917705119158344
"(np.float64(434181.7122889014), np.float64(4812405.230270796))","(np.float64(434175.4746236556), np.float64(4812404.402659058))",6.292329370636668
"(np.float64(434175.4746236556), np.float64(4812404.402659058))","(np.float64(434173.0444908441), np.float64(4812404.093195282))",2.449757806380114
"(np.float64(434173.0444908441), np.float64(4812404.093195282))","(np.float64(434170.69633879), np.float64(4812403.893999919))",2.3565858485914464
"(np.float64(434170.69633879), np.float64(4812403.893999919))","(np.float64(434164.7833396791), np.float64(4812403.174294478))",5.956637844212551
"(np.float64(434164.7833396791), np.float64(4812403.174294478))","(np.float64(434163.0057993741), np.float64(4812403.41380036))",1.7936032457914763
"(np.float64(434163.0057993741), np.float64(4812403.41380036))","(np.float64(434157.8143507413), np.float64(4812402.02063935))",5.375131301354563
"(np.float64(434157.8143507413), np.float64(4812402.02063935))","(np.float64(434156.0292131917), np.float64(4812401.482741653))",1.8644167997010987
"(np.float64(434156.0292131917), np.float64(4812401.482741653))","(np.float64(434154.2440753487), np.float64(4812400.944844425))",1.8644169454961814
"(np.float64(434154.2440753487), np.float64(4812400.944844425))","(np.float64(434151.22270449484), np.float64(4812398.08659044))",4.159122224435688
"(np.float64(434151.22270449484), np.float64(4812398.08659044))","(np.float64(434150.88935196993), np.float64(4812397.090231637))",1.0506449310393013
"(np.float64(434150.88935196993), np.float64(4812397.090231637))","(np.float64(434150.63689537806), np.float64(4812396.093082236))",1.0286113248082192
"(np.float64(434150.63689537806), np.float64(4812396.093082236))","(np.float64(434152.6278206129), np.float64(4812392.852637614))",3.8031913755506803
"(np.float64(434152.6278206129), np.float64(4812392.852637614))","(np.float64(434153.75602417137), np.float64(4812392.397337778))",1.2166105418250166
"(np.float64(434153.75602417137), np.float64(4812392.397337778))","(np.float64(434156.82139255584), np.float64(4812391.478833232))",3.200020926894249
"(np.float64(434156.82139255584), np.float64(4812391.478833232))","(np.float64(434159.4024704431), np.float64(4812390.676131043))",2.703015698262731
"(np.float64(434159.4024704431), np.float64(4812390.676131043))","(np.float64(434162.32666692254), np.float64(4812391.869310407))",3.1582593379530626
"(np.float64(434162.32666692254), np.float64(4812391.869310407))","(np.float64(434166.7265237662), np.float64(4812395.047305759))",5.4275588161070125
